Gene ID	P value	avg_log(Foldchange)	pct.1 (enriched cluster)	pct.2 (other clusters)	adjusted P value	cluster
LOC-Os02g44310	0	1.648360058	0.999	0.977	0	cortex
LOC-Os06g13680	0	0.63061083	0.999	0.998	0	cortex
LOC-Os07g34589	0	0.597807494	0.999	0.993	0	cortex
LOC-Os01g21120	0	0.462817153	0.999	0.991	0	cortex
LOC-Os04g33110	0	0.756632089	0.996	0.985	0	cortex
LOC-Os03g07590	0	0.720201247	0.993	0.969	0	cortex
LOC-Os10g40510	0	2.766598979	0.989	0.841	0	cortex
LOC-Os07g30970	0	1.063401313	0.989	0.924	0	cortex
LOC-Os10g40520	0	2.095897301	0.979	0.793	0	cortex
LOC-Os05g33400	0	0.730687501	0.967	0.787	0	cortex
LOC-Os05g37970	0	0.730114279	0.965	0.926	0	cortex
LOC-Os03g49380	0	0.546612472	0.965	0.885	0	cortex
LOC-Os10g22590	0	0.674368764	0.963	0.813	0	cortex
LOC-Os12g36240	0	1.232627614	0.948	0.815	0	cortex
LOC-Os01g21250	0	0.858721218	0.946	0.796	0	cortex
LOC-Os12g36210	0	1.90151179	0.942	0.493	0	cortex
LOC-Os11g04480	0	0.535996097	0.942	0.804	0	cortex
LOC-Os07g38170	0	0.64758108	0.933	0.798	0	cortex
LOC-Os01g16960	0	0.604965396	0.924	0.77	0	cortex
LOC-Os03g05390	0	0.549084161	0.902	0.671	0	cortex
LOC-Os05g11900	0	0.637366791	0.896	0.663	0	cortex
LOC-Os10g40530	0	1.391999964	0.883	0.746	0	cortex
LOC-Os03g14050	0	0.717785443	0.883	0.647	0	cortex
LOC-Os02g44990	0	0.682770403	0.88	0.693	0	cortex
LOC-Os07g47990	0	1.203764746	0.856	0.544	0	cortex
LOC-Os04g31520	0	1.877270254	0.843	0.252	0	cortex
LOC-Os03g50030	0	1.253813699	0.841	0.252	0	cortex
LOC-Os09g26420	0	0.518587014	0.84	0.525	0	cortex
LOC-Os03g46660	0	0.495489688	0.84	0.582	0	cortex
LOC-Os08g03290	0	0.552397473	0.838	0.601	0	cortex
LOC-Os04g46810	0	2.526106584	0.836	0.558	0	cortex
LOC-Os02g44080	0	1.195504232	0.818	0.514	0	cortex
LOC-Os03g26820	0	1.579945259	0.811	0.353	0	cortex
LOC-Os06g04210	0	0.702572885	0.81	0.537	0	cortex
LOC-Os06g35520	0	1.419938247	0.784	0.279	0	cortex
LOC-Os12g36220	0	0.990407102	0.782	0.51	0	cortex
LOC-Os03g22820	0	0.762141909	0.775	0.455	0	cortex
LOC-Os10g22520	0	0.648898754	0.771	0.475	0	cortex
LOC-Os01g66150	0	0.538017355	0.762	0.517	0	cortex
LOC-Os07g35480	0	0.933719288	0.76	0.407	0	cortex
LOC-Os06g02420	0	0.963217422	0.746	0.208	0	cortex
LOC-Os11g47600	0	1.088615395	0.722	0.348	0	cortex
LOC-Os04g52780	0	0.924025589	0.708	0.205	0	cortex
LOC-Os01g50870	0	0.861472921	0.704	0.273	0	cortex
LOC-Os04g53740	0	0.673305078	0.701	0.364	0	cortex
LOC-Os04g39980	0	0.994971815	0.699	0.356	0	cortex
LOC-Os09g31040	0	1.035680006	0.682	0.326	0	cortex
LOC-Os01g11600	0	1.356481337	0.639	0.264	0	cortex
LOC-Os07g09970	0	1.047213145	0.639	0.168	0	cortex
LOC-Os09g29960	0	0.833929406	0.631	0.334	0	cortex
LOC-Os07g18750	0	1.460379902	0.622	0.106	0	cortex
LOC-Os08g31340	0	0.913912537	0.622	0.198	0	cortex
LOC-Os03g62060	0	1.326044883	0.603	0.173	0	cortex
LOC-Os01g71970	0	0.706172421	0.59	0.213	0	cortex
LOC-Os01g72340	0	0.510676128	0.578	0.255	0	cortex
LOC-Os06g33880	0	0.770326591	0.576	0.237	0	cortex
LOC-Os01g08130	0	0.759653635	0.571	0.088	0	cortex
LOC-Os04g42620	0	0.895516104	0.563	0.084	0	cortex
LOC-Os12g38360	0	0.876289196	0.562	0.102	0	cortex
LOC-Os03g29190	0	0.650016583	0.559	0.186	0	cortex
LOC-Os10g18340	0	1.399731007	0.535	0.24	0	cortex
LOC-Os04g39020	0	0.502340798	0.535	0.175	0	cortex
LOC-Os02g50810	0	0.612475991	0.534	0.222	0	cortex
LOC-Os03g01300	0	2.0273879	0.509	0.178	0	cortex
LOC-Os12g02300	0	1.751483705	0.491	0.104	0	cortex
LOC-Os01g65880	0	0.982266994	0.49	0.106	0	cortex
LOC-Os11g02350	0	1.892313399	0.479	0.141	0	cortex
LOC-Os03g54050	0	0.575503562	0.479	0.15	0	cortex
LOC-Os11g26190	0	0.624221776	0.468	0.086	0	cortex
LOC-Os01g09590	0	0.65025809	0.415	0.086	0	cortex
LOC-Os09g10010	0	0.828997577	0.358	0.059	0	cortex
LOC-Os03g04310	0	0.489162461	0.357	0.044	0	cortex
LOC-Os12g40550	0	0.390423307	0.353	0.052	0	cortex
LOC-Os01g73170	0	0.556466955	0.347	0.054	0	cortex
LOC-Os03g55220	0	0.505430724	0.342	0.045	0	cortex
LOC-Os01g51570	0	0.621347514	0.325	0.045	0	cortex
LOC-Os01g53990	0	0.628488938	0.309	0.041	0	cortex
LOC-Os09g21380	4.21E-307	0.529546896	0.524	0.208	1.65E-302	cortex
LOC-Os01g52594	5.54E-307	0.682828302	0.88	0.72	2.17E-302	cortex
LOC-Os01g52500	1.39E-306	0.527133825	0.921	0.796	5.44E-302	cortex
LOC-Os03g01309	2.21E-303	1.642279968	0.392	0.115	8.66E-299	cortex
LOC-Os01g02160	6.18E-303	0.942106332	0.498	0.211	2.42E-298	cortex
LOC-Os01g63060	1.88E-302	0.49380441	0.807	0.558	7.38E-298	cortex
LOC-Os10g26680	3.28E-297	0.45693786	0.816	0.619	1.28E-292	cortex
LOC-Os01g16140	5.39E-297	0.726766184	0.86	0.681	2.11E-292	cortex
LOC-Os08g28880	4.51E-292	0.435270447	0.304	0.049	1.77E-287	cortex
LOC-Os02g32520	8.49E-285	0.614578271	0.642	0.362	3.33E-280	cortex
LOC-Os01g64170	2.73E-284	0.674481607	0.747	0.535	1.07E-279	cortex
LOC-Os04g40040	1.06E-282	0.510548949	0.45	0.156	4.14E-278	cortex
LOC-Os03g13870	9.66E-278	0.650801257	0.678	0.387	3.79E-273	cortex
LOC-Os02g19770	9.04E-276	0.83750802	0.889	0.772	3.55E-271	cortex
LOC-Os06g04220	9.54E-274	0.984088582	0.761	0.542	3.74E-269	cortex
LOC-Os09g31000	2.93E-272	1.069559728	0.765	0.585	1.15E-267	cortex
LOC-Os09g31080	1.69E-271	0.840759492	0.74	0.5	6.64E-267	cortex
LOC-Os08g05960	4.87E-267	0.646340099	0.539	0.246	1.91E-262	cortex
LOC-Os09g30490	9.14E-267	0.848920186	0.943	0.889	3.59E-262	cortex
LOC-Os01g02139	5.62E-265	0.548507481	0.823	0.615	2.20E-260	cortex
LOC-Os05g10650	1.56E-264	0.636457376	0.84	0.697	6.14E-260	cortex
LOC-Os08g34240	2.07E-264	0.409097956	0.367	0.101	8.11E-260	cortex
LOC-Os07g31500	5.45E-260	0.474270874	0.36	0.101	2.14E-255	cortex
LOC-Os12g28770	9.32E-260	0.32330197	0.228	0.021	3.66E-255	cortex
LOC-Os05g10930	8.11E-258	0.537665279	0.624	0.345	3.18E-253	cortex
LOC-Os06g09560	1.41E-254	0.532012891	0.466	0.189	5.52E-250	cortex
LOC-Os02g42440	2.07E-253	0.66797478	0.603	0.347	8.11E-249	cortex
LOC-Os05g46350	9.89E-249	0.340352838	0.309	0.069	3.88E-244	cortex
LOC-Os01g40280	2.49E-248	0.455489751	0.709	0.466	9.77E-244	cortex
LOC-Os04g34970	2.52E-248	0.629269167	0.812	0.621	9.89E-244	cortex
LOC-Os03g15340	1.76E-245	0.427627256	0.292	0.057	6.89E-241	cortex
LOC-Os07g30170	1.82E-244	0.377321382	0.416	0.156	7.15E-240	cortex
LOC-Os10g26540	2.00E-243	0.477979475	0.489	0.215	7.84E-239	cortex
LOC-Os02g44870	1.94E-239	0.824996348	0.912	0.83	7.61E-235	cortex
LOC-Os04g57760	2.86E-238	0.459598372	0.978	0.952	1.12E-233	cortex
LOC-Os05g49620	6.78E-238	0.581396427	0.502	0.23	2.66E-233	cortex
LOC-Os04g40910	6.99E-236	0.582067038	0.692	0.469	2.74E-231	cortex
LOC-Os01g68589	2.18E-235	1.276535041	0.293	0.07	8.55E-231	cortex
LOC-Os12g29400	4.40E-234	0.738321555	0.908	0.814	1.73E-229	cortex
LOC-Os02g37930	5.50E-233	0.537145152	0.914	0.821	2.16E-228	cortex
LOC-Os03g31510	1.31E-232	0.613463974	0.773	0.596	5.12E-228	cortex
